project_id,operation_type,actual_outcome,priority_score_truth,external_risk_score,severity_score,created_date
PROJ_00000,Network Cutover,Still Blocked,34,91,4,2026-01-01
PROJ_00001,School Deployment,Still Blocked,41,89,5,2026-01-02
PROJ_00002,Network Cutover,Still Blocked,45,86,4,2026-01-03
PROJ_00003,Network Cutover,Still Blocked,55,76,7,2026-01-04
PROJ_00004,School Deployment,Monitor,55,94,7,2026-01-05
PROJ_00005,School Deployment,Monitor,77,82,8,2026-01-06
PROJ_00006,Network Cutover,Still Blocked,50,73,5,2026-01-07
PROJ_00007,Field Install,Escalated,68,73,8,2026-01-08
PROJ_00008,Network Cutover,Still Blocked,65,75,5,2026-01-09
PROJ_00009,Network Cutover,Escalated,62,88,8,2026-01-10
PROJ_00010,Network Cutover,Still Blocked,59,81,6,2026-01-11
PROJ_00011,Network Cutover,Still Blocked,66,91,6,2026-01-12
PROJ_00012,School Deployment,Still Blocked,52,76,6,2026-01-13
PROJ_00013,Network Cutover,Monitor,87,79,6,2026-01-14
PROJ_00014,Field Install,Monitor,39,88,4,2026-01-15
PROJ_00015,School Deployment,Still Blocked,83,76,6,2026-01-16
PROJ_00016,Field Install,Still Blocked,34,72,7,2026-01-17
PROJ_00017,Field Install,Still Blocked,65,82,7,2026-01-18
PROJ_00018,Field Install,Still Blocked,63,82,4,2026-01-19
PROJ_00019,Field Install,Still Blocked,81,87,6,2026-01-20
PROJ_00020,School Deployment,Still Blocked,60,89,6,2026-01-21
PROJ_00021,School Deployment,Still Blocked,39,77,6,2026-01-22
PROJ_00022,Field Install,Resolved,87,78,8,2026-01-23
PROJ_00023,Field Install,Still Blocked,48,76,5,2026-01-24
PROJ_00024,School Deployment,Escalated,87,70,8,2026-01-25
PROJ_00025,School Deployment,Still Blocked,61,72,5,2026-01-26
PROJ_00026,School Deployment,Resolved,30,82,6,2026-01-27
PROJ_00027,Network Cutover,Monitor,85,94,6,2026-01-28
PROJ_00028,Network Cutover,Still Blocked,34,86,8,2026-01-29
PROJ_00029,Network Cutover,Still Blocked,74,94,8,2026-01-30
PROJ_00030,Field Install,Monitor,33,93,5,2026-01-31
PROJ_00031,Network Cutover,Resolved,45,70,7,2026-02-01
PROJ_00032,Field Install,Still Blocked,53,75,5,2026-02-02
PROJ_00033,Field Install,Still Blocked,45,90,8,2026-02-03
PROJ_00034,Network Cutover,Monitor,84,75,8,2026-02-04
PROJ_00035,Field Install,Resolved,31,81,4,2026-02-05
PROJ_00036,Network Cutover,Still Blocked,78,82,8,2026-02-06
PROJ_00037,Network Cutover,Still Blocked,57,82,4,2026-02-07
PROJ_00038,School Deployment,Escalated,61,84,7,2026-02-08
PROJ_00039,Network Cutover,Still Blocked,56,90,5,2026-02-09
PROJ_00040,School Deployment,Still Blocked,49,85,5,2026-02-10
PROJ_00041,Network Cutover,Resolved,53,91,4,2026-02-11
PROJ_00042,Network Cutover,Monitor,41,90,5,2026-02-12
PROJ_00043,School Deployment,Monitor,79,80,8,2026-02-13
PROJ_00044,School Deployment,Still Blocked,64,74,6,2026-02-14
PROJ_00045,Network Cutover,Still Blocked,89,73,4,2026-02-15
PROJ_00046,Field Install,Monitor,62,72,5,2026-02-16
PROJ_00047,School Deployment,Still Blocked,62,88,4,2026-02-17
PROJ_00048,Field Install,Still Blocked,80,89,4,2026-02-18
PROJ_00049,Field Install,Escalated,72,94,6,2026-02-19
PROJ_00050,Field Install,Still Blocked,66,87,8,2026-02-20
